区县,常住人口,城镇化率,固定资产投资增速,社零总额,生产总值
  芙蓉区,64.62,100.00,1.6 ,598.30,13325374
  天心区,89.77,99.09,0.3 ,513.82,14366500
  岳麓区,169.30,94.63,0.7 ,695.85,21436744
  开福区,89.41,96.81,-8.6 ,734.64,12735823
  雨花区,129.58,97.50,1.3 ,807.17,24039693
  望城区,99.84,80.05,9.0 ,516.85,11955180
  长沙县,145.31,75.92,4.4 ,688.25,22663544
  浏阳市,145.04,64.66,7.6 ,498.75,18002616
  宁乡市,128.78,62.84,7.1 ,471.30,14162291
  荷塘区,34.25,98.25,-5.9 ,136.00,3026525
  芦淞区,30.28,92.73,16.5 ,180.68,5025583
  石峰区,34.28,96.47,6.5 ,99.81,4613097
  天元区,48.85,91.63,5.0 ,237.98,6002310
  渌口区,25.43,56.43,1.7 ,69.55,1921725
  攸  县,61.18,59.77,38.4 ,180.32,4951973
  茶陵县,47.39,55.48,0.8 ,106.10,2856520
  炎陵县,15.73,58.55,-1.7 ,41.49,1101092
  醴陵市,86.39,66.11,2.0 ,329.48,9525646
  雨湖区,62.40,84.70,7.0 ,422.41,8571867
  岳塘区,48.80,95.59,6.7 ,170.03,7304421
  湘潭县,76.80,48.59,6.6 ,160.53,6264941
  湘乡市,71.13,53.21,3.2 ,191.49,6193963
  韶山市,10.05,61.19,8.7 ,35.49,1235445
  珠晖区,33.78,92.01,0.1 ,133.61,2982276
  雁峰区,25.24,99.17,-15.6 ,122.39,2914775
  石鼓区,22.82,91.37,-3.7 ,234.73,3154421
  蒸湘区,49.00,91.94,9.9 ,320.41,4978356
  南岳区,7.09,74.75,15.9 ,39.28,632783
  衡阳县,84.79,47.56,17.0 ,156.75,4831921
  衡南县,76.36,49.84,4.2 ,144.09,4617072
  衡山县,32.00,50.63,17.0 ,80.39,2517710
  衡东县,53.64,40.81,11.7 ,133.75,3913789
  祁东县,73.51,45.38,14.2 ,163.38,4147111
  耒阳市,108.83,50.07,10.1 ,203.96,5184961
  常宁市,76.37,52.98,16.3 ,158.38,5041748
  双清区,31.99,90.09,6.9 ,159.24,2296152
  大祥区,36.31,88.19,9.0 ,118.50,2406351
  北塔区,12.36,80.42,-33.1 ,28.71,712289
  新邵县,58.39,47.73,14.5 ,120.31,2092207
  邵阳县,70.78,48.52,3.2 ,147.72,2350668
  隆回县,96.51,45.73,3.1 ,192.08,3208184
  洞口县,65.20,51.10,11.1 ,137.43,2431076
  绥宁县,28.12,43.92,11.9 ,61.82,1186784
  新宁县,49.51,48.84,6.0 ,86.18,1528619
  城步县,22.00,45.32,-9.5 ,43.90,734514
  武冈市,61.63,52.56,6.7 ,121.67,2400190
  邵东市,97.17,59.93,9.4 ,356.67,7915441
  岳阳楼区,98.09,95.31,1.5 ,781.37,17013688
  云溪区,17.18,68.80,11.8 ,48.72,3613330
  君山区,19.28,57.00,0.6 ,64.36,2174761
  岳阳县,55.04,56.09,-4.4 ,162.99,4623561
  华容县,54.22,55.59,-31.0 ,157.52,4166648
  湘阴县,57.12,54.74,5.9 ,171.24,4793866
  平江县,93.31,54.74,15.7 ,221.93,5260847
  汨罗市,62.10,49.52,19.7 ,186.57,5981467
  临湘市,42.41,59.63,1.3 ,121.14,3648475
  武陵区,72.54,92.05,-27.7 ,432.25,13308536
  鼎城区,72.72,62.13,-25.5 ,204.60,5487188
  安乡县,41.50,45.52,2.2 ,120.14,2877733
  汉寿县,69.23,50.85,-32.7 ,176.50,4410470
  澧  县,70.29,61.91,-44.6 ,200.20,5042162
  临澧县,36.42,47.31,4.2 ,107.58,2787911
  桃源县,78.92,46.16,-2.0 ,213.71,5258472
  石门县,54.45,49.38,-11.1 ,178.23,3865515
  津市市,20.80,67.40,10.2 ,80.04,2289483
  永定区,50.64,65.92,1.2 ,119.19,2661916
  武陵源区,5.90,71.53,-20.3 ,22.77,540092
  慈利县,55.37,50.35,-15.2 ,70.11,2079849
  桑植县,36.78,45.00,-2.6 ,41.04,1262218
  资阳区,34.34,56.14,10.8 ,94.48,2395331
  赫山区,86.80,67.49,-0.2 ,331.49,7188753
  南  县,54.67,51.05,11.5 ,142.68,3454612
    大通湖区,7.75,54.32,15.8 ,24.72,456033
  桃江县,66.94,55.60,13.2 ,150.10,3371920
  安化县,75.83,39.11,15.8 ,118.95,3053669
  沅江市,54.94,52.31,18.4 ,146.78,3217473
  北湖区,57.39,88.10,8.3 ,254.72,5468438
  苏仙区,44.02,75.62,8.1 ,129.09,4545529
  桂阳县,69.10,57.31,8.4 ,167.43,4969871
  宜章县,55.53,54.76,8.1 ,115.45,2984784
  永兴县,52.40,57.52,8.0 ,127.84,4342785
  嘉禾县,33.09,52.25,9.7 ,65.06,1730448
  临武县,31.24,54.07,9.0 ,59.45,1679128
  汝城县,33.87,49.81,8.9 ,55.23,1207841
  桂东县,15.92,42.84,3.1 ,25.91,578603
