年份,地区,出生人口,死亡人口,省外迁入,迁往省外
2005,双清,4028,2178,427,997
2005,大祥,3434,1008,1932,1516
2005,北塔,1319,473,137,292
2005,邵东,13704,8310,3249,4419
2005,新邵,8533,4865,1255,2323
2005,邵阳,12429,5646,1786,3517
2005,隆回,13271,7772,953,1325
2005,洞口,10995,5446,230,272
2005,绥宁,4446,2036,785,780
2005,新宁,8193,4305,1204,2327
2005,城步,3699,2276,311,504
2005,武冈,9721,6129,1124,2402
2006,双清,2950,1014,501,754
2006,大祥,2987,1370,1718,1296
2006,北塔,881,545,144,232
2006,邵东,11978,4123,5604,4827
2006,新邵,5983,3622,914,1668
2006,邵阳,9247,3874,1679,3443
2006,隆回,12031,5025,5865,3214
2006,洞口,8499,1366,2229,2420
2006,绥宁,3764,1312,805,671
2006,新宁,6587,2950,2001,2094
2006,城步,3213,1686,329,830
2006,武冈,7523,6383,2873,3561
2007,双清,3021,1449,1065,1022
2007,大祥,3310,1640,2341,2465
2007,北塔,1221,517,480,324
2007,邵东,12838,6847,5604,4829
2007,新邵,6835,4127,4733,3260
2007,邵阳,9796,5982,6133,4851
2007,隆回,11789,3280,4194,3188
2007,洞口,7939,3553,392,336
2007,绥宁,3596,2009,295,356
2007,新宁,6076,2540,789,492
2007,城步,3121,1042,1160,845
2007,武冈,7625,3862,4319,3440
2008,双清,3003,1613,,
2008,大祥,2966,1074,,
2008,北塔,947,282,,
2008,邵东,11345,5756,,
2008,新邵,6075,3454,,
2008,邵阳,9348,3654,,
2008,隆回,11880,5522,,
2008,洞口,8194,4055,,
2008,绥宁,3886,1411,,
2008,新宁,6706,3184,,
2008,城步,3579,1765,,
2008,武冈,7754,4174,,
2009,双清区,3903,2610,323,900
2009,大祥区,3607,1993,1144,2039
2009,北塔区,1086,313,164,251
2009,邵东县,11558,7484,1733,3021
2009,新邵县,8671,2504,1664,1827
2009,邵阳县,9828,5146,1544,1926
2009,隆回县,13714,5665,2101,1905
2009,洞口县,8672,3903,424,462
2009,绥宁县,4263,1537,586,764
2009,新宁县,7070,3466,418,645
2009,城步县,3809,1938,785,719
2009,武冈市,8065,4059,3650,3642
2010,双清区,5133,1540,367,951
2010,大祥区,6179,1241,981,1618
2010,北塔区,2192,561,118,236
2010,邵东县,26892,7569,1974,4570
2010,新邵县,21600,2142,1240,1643
2010,邵阳县,14904,4374,1682,2853
2010,隆回县,35973,10746,1882,2221
2010,洞口县,14864,5204,1170,1967
2010,绥宁县,6376,3878,626,974
2010,新宁县,11284,9865,1035,1250
2010,城步县,5124,2615,505,596
2010,武冈市,21632,5193,1323,1422
2011,双清区,3052,1877,462,852
2011,大祥区,3519,2356,677,2003
2011,北塔区,1218,606,131,214
2011,邵东县,16227,8946,1711,4702
2011,新邵县,9321,5575,1041,2100
2011,邵阳县,12583,7264,1392,3024
2011,隆回县,16922,8512,1621,2310
2011,洞口县,10123,6015,1062,1606
2011,绥宁县,4932,2583,541,755
2011,新宁县,8640,4349,919,1227
2011,城步县,4857,1987,366,665
2011,武冈市,10683,5713,995,1361
2012,双清区,2824,1760,389,824
2012,大祥区,3442,2006,718,1819
2012,北塔区,1230,619,124,225
2012,邵东县,16055,7861,1917,4253
2012,新邵县,9548,4899,966,1478
2012,邵阳县,13081,6290,1576,2561
2012,隆回县,19002,7938,1742,2151
2012,洞口县,9828,5468,1448,2740
2012,绥宁县,4949,1640,580,769
2012,新宁县,8804,4952,972,1132
2012,城步县,5085,2550,395,622
2012,武冈市,10059,6299,1028,1424
2013,双清区,3810,1091,446,750
2013,大祥区,4107,1133,716,1611
2013,北塔区,1491,656,115,180
2013,邵东县,20057,5160,1914,3942
2013,新邵县,9839,5328,1053,1812
2013,邵阳县,15751,3943,1726,2282
2013,隆回县,19602,10339,1627,2268
2013,洞口县,12856,10191,2349,3017
2013,绥宁县,4385,1981,520,775
2013,新宁县,10295,2853,945,1105
2013,城步县,4157,3901,376,589
